34.9,-0.47
35,0.08
35.1,-0.39
35.2,-0.59
35.3,-0.98
35.4,-1.41
35.5,-1.41
35.6,-1.49
35.7,-1.45
35.8,0.68
35.9,-1.02
36,1.22
36.1,3.73
36.2,1.57
36.3,1.41
36.4,0.63
36.5,0.12
36.6,0.04
36.7,0.39
36.8,0.24
36.9,0.43
37,0.94
37.1,0.98
37.2,20.71
37.3,1.45
37.4,1.41
37.5,1.06
37.6,0.98
37.7,0.86
37.8,0.78
37.9,0.47
38,0.27
38.1,-1.96
38.2,-4.35
38.3,-0.2
38.4,0.08
38.5,0
38.6,0
38.7,-0.43
38.8,-0.71
38.9,-1.1
39,-1.45
39.1,-1.33
39.2,-1.49
39.3,-1.61
39.4,-1.14
39.5,-0.71
39.6,32.13
39.7,3.49
39.8,1.1
39.9,0.47
40,-0.71
40.1,-0.24
40.2,0
40.3,0.47
40.4,0.31
40.5,0.43
40.6,0.82
40.7,0.98
40.8,1.29
40.9,1.33
41,1.22
41.1,1.02
41.2,0.98
41.3,0.82
41.4,0.59
41.5,0.31
41.6,0.16
41.7,-0.71
41.8,-1.33
41.9,0.04
42,0.43
42.1,-0.51
42.2,-0.04
42.3,-0.55
42.4,-0.9
42.5,-0.98
42.6,-1.22
42.7,-1.45
42.8,-1.41
42.9,-1.53
43,-1.29
43.1,-0.78
43.2,1.26
43.3,3.77
43.4,1.1
43.5,-0.08
43.6,0.04
43.7,-0.35
43.8,0
43.9,0.31
44,0.2
44.1,0.75
44.2,1.02
44.3,1.14
44.4,1.41
44.5,1.53
44.6,1.45
44.7,1.14
44.8,1.06
44.9,0.9
45,0.67
45.1,0.35
45.2,59.63
45.3,-2.39
45.4,-1.57
45.5,-0.16
45.6,-0.47
45.7,0
45.8,-0.55
45.9,-0.51
46,-0.75
46.1,-1.18
46.2,-1.49
46.3,-1.49
46.4,-1.49
46.5,-1.33
46.6,-1.14
46.7,-0.67
46.8,1.1
46.9,3.45
47,2.79
47.1,1.1
47.2,0.71
47.3,-0.2
47.4,0.12
47.5,0.59
47.6,0.39
47.7,0.51
47.8,0.71
47.9,1.29
48,1.41
48.1,1.37
48.2,1.29
48.3,1.14
48.4,0.98
48.5,0.9
48.6,0.51
48.7,0.51
48.8,-0.2
48.9,-2.12
49,-1.18
49.1,-0.43
49.2,-0.04
49.3,0.04
49.4,-0.55
49.5,-0.51
49.6,-1.02
49.7,-1.37
49.8,-1.53
49.9,-1.41
50,-1.57
50.1,-1.18
50.2,-0.24
50.3,1.22
50.4,2.75
50.5,1.26
50.6,0.75
50.7,0.55
50.8,0.08
50.9,0.08
51,0.35
51.1,0.35
51.2,0.71
51.3,0.86
51.4,0.94
51.5,1.18
51.6,1.33
51.7,1.41
51.8,2.24
51.9,1.06
52,0.9
52.1,0.78
52.2,0.51
52.3,0.04
52.4,-1.41
52.5,-2.43
52.6,-0.2
52.7,0.35
52.8,0.04
52.9,0.16
53,-0.24
53.1,-0.43
53.2,-0.94
53.3,-1.1
53.4,-1.45
53.5,-1.49
53.6,-1.61
53.7,-1.18
53.8,-0.86
53.9,0.55
54,2.16
54.1,4.08
54.2,1.45
54.3,-0.39
54.4,-0.08
54.5,0.16
54.6,0.43
54.7,0.08
54.8,0.31
54.9,0.55
55,0.94
55.1,1.18
55.2,1.33
55.3,1.37
55.4,1.18
55.5,0.98
55.6,0.98
55.7,0.67
55.8,0.43
55.9,0.39
56,-1.06
56.1,-2.12
56.2,0.04
56.3,0.27
56.4,-0.08
56.5,-0.31
56.6,-0.51
56.7,-0.78
56.8,-1.18
56.9,-1.37
57,-1.65
57.1,-1.61
57.2,-1.49
57.3,-1.18
57.4,-0.24
57.5,2.35
57.6,3.77
57.7,0.71
57.8,-0.47
57.9,0.82
58,0.12
58.1,0.2
58.2,0.16
58.3,0.24
58.4,0.71
58.5,0.9
58.6,1.1
58.7,1.57
58.8,1.57
58.9,1.22
59,1.02
59.1,0.94
59.2,0.86
59.3,0.63
59.4,0.39
59.5,-1.26
59.6,-6.83
59.7,-0.55
59.8,-0.55
59.9,-0.27
60,0.04
60.1,-0.35
60.2,-0.51
60.3,-0.78
60.4,-1.18
60.5,-1.49
60.6,-1.65
60.7,-1.53
60.8,-1.33
60.9,-1.33
61,-0.67
61.1,0.94
61.2,3.41
61.3,-0.82
61.4,0.47
61.5,0.9
61.6,0
61.7,0.12
61.8,0.31
61.9,0.31
62,0.67
62.1,0.9
62.2,1.18
62.3,1.49
62.4,1.41
62.5,1.45
62.6,1.06
62.7,0.86
62.8,0.75
62.9,0.55
63,0.39
63.1,-0.9
63.2,-2.35
63.3,0.2
63.4,-0.24
63.5,-0.51
63.6,-0.04
63.7,-0.47
63.8,-0.63
63.9,-0.94
64,-1.45
64.1,-1.37
64.2,-1.45
64.3,1.23
64.4,1.23
64.5,-0.35
64.6,0.51
64.7,2.82
64.8,0.12
64.9,0.78
65,0.43
65.1,0.08
65.2,-0.16
65.3,0.39
65.4,0.2
65.5,0.51
65.6,0.75
65.7,1.02
65.8,1.45
65.9,1.45
66,1.37
66.1,1.18
66.2,0.98
66.3,0.86
66.4,0.75
66.5,0.35
66.6,0
66.7,-0.27
66.8,4.4
66.9,-0.08
67,0.31
67.1,-0.2
67.2,-0.16
67.3,-0.35
67.4,-0.43
67.5,-0.94
67.6,-1.33
67.7,-1.29
67.8,-1.37
67.9,-1.53
68,-1.33
68.1,-1.18
68.2,0.82
68.3,3.53
68.4,0.67
68.5,1.31
68.6,0.2
68.7,0.2
68.8,0.24
68.9,0.27
69,0.27
69.1,0.47
69.2,0.59
69.3,0.9
69.4,1.33
