0.1,0.14
0.2,0.18
0.3,0.16
0.4,0.16
0.5,0.16
0.6,0.16
0.7,0.18
0.8,0.18
0.9,0.2
1,0.16
1.1,0.12
1.2,0.18
1.3,0.16
1.4,0.2
1.5,0.14
1.6,0.18
1.7,0.2
1.8,0.18
1.9,0.14
2,0.12
2.1,0.12
2.2,0.14
2.3,0.18
2.4,0.18
2.5,0.22
2.6,0.16
2.7,0.18
2.8,0.18
2.9,0.18
3,0.22
3.1,0.18
3.2,0.16
3.3,0.14
3.4,0.16
3.5,0.2
3.6,0.2
3.7,0.14
3.8,0.16
3.9,0.16
4,0.16
4.1,0.14
4.2,0.16
4.3,0.18
4.4,0.16
4.5,0.16
4.6,0.22
4.7,0.16
4.8,0.14
4.9,0.14
5,0.14
5.1,0.18
5.2,0.1
5.3,0.18
5.4,0.18
5.5,0.18
5.6,0.16
5.7,0.2
5.8,0.16
5.9,0.18
6,0.16
6.1,0.18
6.2,0.16
6.3,0.16
6.4,0.16
6.5,0.18
6.6,0.2
6.7,0.2
6.8,0.2
6.9,0.2
7,0.2
7.1,0.2
7.2,0.18
7.3,0.12
7.4,0.14
7.5,0.12
7.6,0.18
7.7,0.12
7.8,0.16
7.9,0.14
8,0.18
8.1,0.18
8.2,0.2
8.3,0.16
8.4,0.1
8.5,0.14
8.6,0.16
8.7,0.14
8.8,0.12
8.9,0.18
9,0.16
9.1,0.2
9.2,0.22
9.3,0.18
9.4,0.16
9.5,0.16
9.6,0.22
9.7,0.2
9.8,0.16
9.9,0.16
10,0.16
10.1,0.14
10.2,0.14
10.3,0.2
10.4,0.14
10.5,0.2
10.6,0.25
10.7,0.2
10.8,0.14
10.9,0.16
11,0.2
11.1,0.16
11.2,0.18
11.3,0.14
11.4,0.2
11.5,0.18
11.6,0.2
11.7,0.16
11.8,0.22
11.9,0.18
12,0.16
12.1,0.2
12.2,0.18
12.3,0.16
12.4,0.22
12.5,0.02
12.6,0.59
12.7,2.2
12.8,2.51
12.9,0.04
13,0.33
13.1,0.63
13.2,-0.12
13.3,0.25
13.4,0.61
13.5,0.53
13.6,0.86
13.7,0.94
13.8,1.37
13.9,1.61
14,1.59
14.1,1.59
14.2,1.22
14.3,1.12
14.4,0.16
14.5,-1.53
14.6,-2.71
14.7,-1.84
14.8,0.06
14.9,0.22
15,0.29
15.1,-0.37
15.2,-0.43
15.3,-0.76
15.4,-0.73
15.5,-1.06
15.6,-1.22
15.7,-1.39
15.8,-1.45
15.9,-1.24
16,-0.84
16.1,-0.53
16.2,1.14
16.3,2.73
16.4,0.45
16.5,-0.55
16.6,-0.67
16.7,0.24
16.8,-0.04
16.9,0.31
17,0.53
17.1,0.63
17.2,0.8
17.3,1.14
17.4,1.35
17.5,1.43
17.6,1.53
17.7,1.59
17.8,1.41
17.9,1.2
18,0.88
18.1,-0.27
18.2,-2.39
18.3,0.35
18.4,0.22
18.5,0.33
18.6,0.65
18.7,0.08
18.8,-3.06
18.9,-0.76
19,-1
19.1,-1.08
19.2,-1.27
19.3,-1.65
19.4,-1.47
19.5,-1.22
19.6,-0.73
19.7,-0.55
19.8,0.49
19.9,3.1
20,0.75
20.1,1.29
20.2,0.29
20.3,-0.1
20.4,0.12
20.5,0.49
20.6,0.51
20.7,0.61
20.8,0.92
20.9,1.2
21,1.57
21.1,1.69
21.2,1.51
21.3,1.41
21.4,1.22
21.5,0.98
21.6,0.69
21.7,-0.76
21.8,-2
21.9,0.47
22,0.78
22.1,0.45
22.2,0.39
22.3,-0.2
22.4,-0.39
22.5,-0.49
22.6,-0.96
22.7,-1.08
22.8,-8.36
22.9,-1.61
23,-1.35
23.1,-1.12
23.2,-0.76
23.3,-0.41
23.4,1.39
23.5,3
23.6,2.8
23.7,0.41
23.8,0.41
23.9,0.37
24,0.22
24.1,0.49
24.2,0.61
24.3,0.61
24.4,0.92
24.5,1.12
24.6,1.31
24.7,1.51
24.8,1.41
24.9,1.37
25,1.22
25.1,1.27
25.2,0.24
25.3,-1.06
25.4,-2.37
25.5,-2.86
25.6,-0.57
25.7,-0.31
25.8,0.22
25.9,-0.18
26,-0.41
26.1,-0.69
26.2,-0.76
26.3,-0.98
26.4,-1.24
26.5,-1.31
26.6,-1.39
26.7,-1.16
26.8,-0.92
26.9,-0.57
27,0.98
27.1,3.39
27.2,2.65
27.3,1.43
27.4,0.41
27.5,0.49
27.6,-0.02
27.7,0.37
27.8,0.63
27.9,0.61
28,0.96
28.1,0.92
28.2,1.33
28.3,1.41
28.4,1.45
28.5,1.29
28.6,1.35
28.7,1.12
28.8,0.8
28.9,-0.14
29,-1.53
29.1,0.35
29.2,-0.14
29.3,0.16
29.4,0.27
29.5,-0.22
29.6,-0.37
29.7,-0.63
29.8,-0.98
29.9,-1.02
30,-1.29
30.1,-1.41
30.2,-1.37
30.3,-1.18
30.4,-0.76
30.5,-0.39
30.6,0.14
30.7,2.8
30.8,1.78
30.9,0.9
31,0.75
31.1,0.2
31.2,0.29
31.3,0.67
31.4,0.69
31.5,0.73
31.6,1
31.7,1.02
31.8,1.18
31.9,1.26
32,1.29
32.1,1.37
32.2,1.16
32.3,1.2
32.4,0.31
32.5,-0.78
32.6,-2.84
32.7,1.45
32.8,-0.78
32.9,0.16
33,0.49
33.1,-0.14
33.2,-0.49
33.3,-0.73
33.4,-0.94
33.5,-1.08
33.6,-1.39
33.7,-1.16
33.8,-1.24
33.9,-1.1
34,-0.69
34.1,-0.55
34.2,0.51
34.3,3
34.4,1.8
34.5,0.65
34.6,-0.2
34.7,1.53
34.8,0.29
34.9,0.76
35,0.67
35.1,0.73
35.2,4.71
35.3,1.2
35.4,1.29
35.5,1.37
35.6,1.31
35.7,1.29
35.8,1.26
35.9,1.26
36,0.59
36.1,-1.02
36.2,-2.75
36.3,0.75
36.4,0.92
36.5,0.1
36.6,0.45
36.7,-0.2
36.8,-0.55
36.9,-0.75
37,-1.04
37.1,-1.04
37.2,-1.16
37.3,-1.24
37.4,-1.27
37.5,-1
37.6,-0.57
37.7,-0.33
37.8,1.49
37.9,2.84
38,3.61
38.1,1.67
38.2,1.02
38.3,0.22
38.4,0.37
38.5,0.47
38.6,0.51
38.7,0.71
38.8,0.8
38.9,1.08
39,1.39
39.1,1.53
39.2,1.49
39.3,1.37
39.4,1.24
39.5,1.26
39.6,-0.06
39.7,-0.98
39.8,-1.82
39.9,0.25
40,0.06
40.1,-0.1
40.2,0.45
40.3,-0.25
40.4,-0.55
40.5,-0.75
40.6,-0.96
40.7,-1.16
40.8,-1.37
40.9,-1.43
41,-1.33
41.1,-1.14
41.2,-0.86
41.3,-0.49
41.4,-0.1
41.5,2.65
41.6,3.04
41.7,-0.41
41.8,0.31
41.9,0.69
42,0.22
42.1,0.61
42.2,0.39
42.3,0.67
42.4,0.94
42.5,0.98
42.6,1.26
42.7,1.37
42.8,1.26
42.9,1.18
43,0.72
43.1,1.14
43.2,0.18
43.3,-1.37
43.4,-3.14
43.5,-1.71
43.6,0.18
43.7,-0.37
43.8,0.27
43.9,-0.25
44,-0.35
44.1,-0.73
44.2,-0.96
44.3,-0.94
44.4,-1.14
44.5,-1.39
44.6,-1.35
44.7,-1.37
44.8,-0.94
44.9,0.1
45,1.33
45.1,1.69
45.2,0.33
45.3,0.18
45.4,0.24
45.5,-0.06
45.6,-0.18
45.7,0.24
45.8,0.65
45.9,0.71
46,0.84
46.1,1
46.2,1.1
46.3,1.31
46.4,1.22
46.5,1.12
